コード,銘柄名,市場,始値,高値,安値,終値,出来高,売買代金
1301-T,極洋,東証1部,2948.00,2996.00,2936.00,2936.00,62300,184253500
1305-T,ETFTPX,東証,1614.00,1616.00,1588.00,1589.00,215210,344828120
1306-T,TOPIX投,東証,1591.00,1594.00,1565.00,1565.00,3237980,5129551010
1308-T,上場TPX,東証,1576.00,1578.00,1551.00,1552.00,373400,584035500
1309-T,上証50連,東証,28950.00,29090.00,28950.00,29080.00,119,3452590
1310-T,ETF･コア30,東証,710.00,711.00,705.00,705.00,210,148500
1311-T,TOPIX30,東証,713.00,715.00,707.00,707.00,1710,1219950
1312-T,RN小型コア,東証,18730.00,18730.00,18730.00,18730.00,2,37460
1313-T,KODEX200,東証,2896.00,2896.00,2896.00,2896.00,10,28960
1314-T,上場新興,東証,1236.00,1236.00,1236.00,1236.00,100,123600
1319-T,300投信,東証,287.00,287.00,287.00,287.00,3000,861000
1319-S,300投信,札証,,,,,0,0
1319-F,300投信,福証,,,,,0,0
1320-T,ETF225,東証,19820.00,19840.00,19560.00,19570.00,65115,1282946630
1321-T,225投信,東証,19800.00,19840.00,19540.00,19540.00,285737,5633147340
1322-T,上場パンタ,東証,4600.00,4600.00,4565.00,4580.00,90,412150
1323-T,南ア40,東証,346.00,346.00,346.00,346.00,500,173000
1324-T,RTS連動,東証,124.00,125.00,124.00,124.00,88700,11033400
1325-T,ボベスパ,東証,188.00,188.00,186.00,187.00,42800,8019200
1326-T,SPDRゴール,東証,13240.00,13270.00,13220.00,13240.00,2388,31614040
1327-T,EASY商品,東証,3370.00,3395.00,3360.00,3395.00,55,186105
1328-T,金連動,東証,3620.00,3630.00,3620.00,3620.00,1170,4239900
1329-T,iS225,東証,19760.00,19800.00,19520.00,19520.00,4061,80050490
1330-T,上場225,東証,19880.00,19910.00,19610.00,19620.00,109350,2160041200
1332-T,日水,東証1部,569.00,570.00,555.00,555.00,2842400,1594794600
1333-T,マルハニチロ,東証1部,3435.00,3450.00,3370.00,3370.00,234000,794874500
1343-T,REIT-ETF,東証,1893.00,1900.00,1886.00,1886.00,28830,54607020
1344-T,MXSコア30,東証,667.00,669.00,664.00,664.00,2410,1603940
1345-T,上場Jリート,東証,1792.00,1797.00,1787.00,1787.00,7400,13258200
1346-T,MXS225,東証,19750.00,19800.00,19510.00,19530.00,40254,792034300
1347-T,上場グリチ,東証,,,,,0,0
1348-T,MXSトピクス,東証,1585.00,1586.00,1559.00,1559.00,115230,181466500
1349-T,アジア債券,東証,12390.00,12530.00,12390.00,12410.00,52,648670
1352-T,ホウスイ,東証1部,131.00,131.00,127.00,127.00,80000,10197000
1356-T,TPXベア2,東証,3505.00,3620.00,3495.00,3615.00,85930,304888750
1357-T,日経ダブ,東証,1909.00,1959.00,1903.00,1957.00,8721168,16793694024
1358-T,上場2倍,東証,13950.00,13970.00,13590.00,13590.00,6866,94851480
1360-T,日経ベア2,東証,4580.00,4705.00,4570.00,4705.00,514100,2379993950
