コード,銘柄名,市場
1301-T,極洋,東証1部
1332-T,日水,東証1部
1333-T,マルハニチロ,東証1部
1352-T,ホウスイ,東証1部
1376-T,カネコ種,東証1部
1377-T,サカタのタネ,東証1部
1379-T,ホクト,東証1部
1384-T,ホクリヨウ,東証1部
1414-T,ショーボンド,東証1部
1417-T,ミライトHD,東証1部
1419-T,タマホーム,東証1部
1420-T,サンヨーH,東証1部
1430-T,ファーストコポ,東証1部
1435-T,インベスターC,東証1部
1514-T,住石HD,東証1部
1515-T,日鉄鉱,東証1部
1518-T,三井松,東証1部
1605-T,国際帝石,東証1部
1606-T,海洋掘削,東証1部
1662-T,石油資源,東証1部
1663-T,K&Oエナジー,東証1部
1712-T,ダイセキソリュ,東証1部
1719-T,安藤ハザマ,東証1部
1720-T,東急建設,東証1部
1721-T,コムシスHD,東証1部
1722-T,MISAWA,東証1部
1726-T,BRHD,東証1部
1762-T,高松G,東証1部
1766-T,東建コーポ,東証1部
1768-T,ソネック,東証1部
1780-T,ヤマウラ,東証1部
1801-T,大成建,東証1部
1802-T,大林組,東証1部
1803-T,清水建,東証1部
1805-T,飛島建,東証1部
1808-T,長谷工,東証1部
1810-T,松井建,東証1部
1811-T,銭高組,東証1部
1812-T,鹿島,東証1部
1813-T,不動テトラ,東証1部
1814-T,大末建,東証1部
1815-T,鉄建建設,東証1部
1820-T,西松建,東証1部
1821-T,三住建設,東証1部
1822-T,大豊建,東証1部
1824-T,前田建,東証1部
1826-T,佐田建,東証1部
1827-T,ナカノフドー,東証1部
1833-T,奥村組,東証1部
1835-T,東鉄工,東証1部
1847-T,イチケン,東証1部
1852-T,浅沼組,東証1部
1860-T,戸田建,東証1部
1861-T,熊谷組,東証1部
1865-T,青木あす,東証1部
1866-T,北野建,東証1部
1867-T,植木組,東証1部
1868-T,三井ホーム,東証1部
1870-T,矢作建,東証1部
1871-T,PS三菱,東証1部
1873-T,日ハウスHD,東証1部
1878-T,大東建,東証1部
1879-T,新日建,東証1部
1881-T,NIPPO,東証1部
1882-T,東亜道,東証1部
1883-T,前田道,東証1部
1884-T,日道路,東証1部
1885-T,東亜建,東証1部
1888-T,若築建,東証1部
1890-T,東洋建,東証1部
1893-T,五洋建,東証1部
1896-T,大林道,東証1部
1898-T,世紀東,東証1部
1899-T,福田組,東証1部
1909-T,日本ドライ,東証1部
1911-T,住友林,東証1部
1914-T,日基礎,東証1部
1916-T,日ビルド,東証1部
1919-T,ヤマダSXL,東証1部
1921-T,巴コーポ,東証1部
1924-T,パナホーム,東証1部
1925-T,大和ハウス,東証1部
1926-T,ライト工,東証1部
1928-T,積水ハウス,東証1部
1929-T,日特建,東証1部
1930-T,北電事,東証1部
1934-T,ユアテック,東証1部
1937-T,西電工,東証1部
1939-T,四電工,東証1部
1941-T,中電工,東証1部
1942-T,関電工,東証1部
1944-T,きんでん,東証1部
1945-T,東京エネシス,東証1部
1946-T,トーエネク,東証1部
1949-T,住電設,東証1部
1950-T,日本電設,東証1部
1951-T,協エクシオ,東証1部
1952-T,日空調,東証1部
1954-T,日工営,東証1部
1956-T,NDS,東証1部
1959-T,九電工,東証1部
1961-T,三機工,東証1部
1963-T,日揮,東証1部
1964-T,中外炉,東証1部
1967-T,ヤマト,東証1部
1968-T,太平電,東証1部
1969-T,高砂熱,東証1部
1972-T,三晃金,東証1部
1973-T,NESIC,東証1部
1975-T,朝日工,東証1部
1976-T,明星工,東証1部
1979-T,大気社,東証1部
1980-T,ダイダン,東証1部
1982-T,日比谷,東証1部
1983-T,東芝プラ,東証1部
2001-T,日本粉,東証1部
2002-T,日清粉G,東証1部
2003-T,日東富士,東証1部
2004-T,昭和産,東証1部
2009-T,鳥越粉,東証1部
2053-T,中部飼,東証1部
2060-T,フィード･ワン,東証1部
2107-T,東洋糖,東証1部
2108-T,甜菜糖,東証1部
